SKU#,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'15130042,ผงปรุงเดมิเกลซบราวน์ซอสโกลด์ คนอร์ 1 กก.(181080),KG,,,391,,,,A,7,,,,,,,
'15070004,ซีเรียล-โกโก้ครั้นซ์เนสท์เล่ 1.4 กก.(180842),BAG,,,394,,,,A,7,,,,,,,
'15130022,ใบโรสแมรี่ แม็คคอร์มิก170ก.(184920),BTL,,,405,,,,A,7,,,,,,,
'15130003,ใบเบย์ แม็คคอร์มิค 56ก.(184744),BTL,,,435,,,,A,7,,,,,,,
'15130016,ผงปาปริก้า แม็คคอร์มิค 510ก.(184926),BTL,,,435,,,,A,7,,,,,,,
'15110004,น้ำมันสลัด เบสท์ฟู้ดส์ 3.3 ลิตร(175249),GAL,,,467,,,,A,7,,,,,,,
'15010047,มะกอกเขียวไม่มีเมล็ด 4 กก.(58023A)  3.2กก.,CAN,,,530,,,,A,7,,,,,,,
15010228,มะกอกดำไม่มีเมล็ด 4.3กก.ตราคริสโบ้,Can,,,685,THB,0,0,A,7,0,,,,,,
'15120026,น้ำกะทิ อร่อยดี 1000 มล.(1x12)/(156265),CASE,,,690,,,,A,7,,,,,,,
'15010048,มะกอกเขียวไม่มีเมล็ดในน้ำเกลือคริสโป 4.3กก(142439),CAN,,,695,,,,A,7,,,,,,,
'15110005,น้ำมันปาล์ม มรกต 18 ลิตร(312130),TANK,,,740,,,,A,7,,,,,,,
'15010003,ถั่วขาวในน้ำมะเขือเทศ 425ก.(1x24)/(230091),CASE,,,980,,,,A,7,,,,,,,
'15010005,น้ำส้มสายชูบาลซามิควินิกาเบอร์ทอลลี่ 3ล.(205919),GAL,,,1320,,,,A,7,,,,,,,
'15110006,EXTRA VIRGIN OLIVE OIL FROM SPAIN 5L.(6VR002),GAL,,,2295,,,,A,7,,,,,,,
'15110007,น้ำมันมะกอกซาโบรโซ่เอ๊กตร้าเวอร์จิน 5ล.(44C02),GAL,,,2295,,,,A,7,,,,,,,
