SKU#,Description,Local Description,Unit,Qty From,QtyTo,Quote Price,Foc,Discount Percent,Discount Amount,TaxType,TaxRate,Vendor SKU#,Comment,,,,,
'10020024,เล็บมือนาง(ตีนไก่),เล็บมือนาง(ตีนไก่),KG,,,125,,,,N,0,,,,,,,
'10020002,CHICKEN BLOOD,เลือดไก่,KG,,,30,,,,N,0,,,,,,,
'10020019,CHICKEN BLOOD(ก้อน),เลือดไก่(ก้อน),KG,,,30,,,,N,0,,,,,,,
'14030004,WHIPPING CREAM  MILLAC GOLD,วิปปิ้งครีมมิลล์แลกโก 1 ลิตร,BOX,,,160,,,,N,0,,,,,,,
'10020010,CHICKEN TOP ROUND  WITH SKIN 2 KG.,สะโพกไก่ติดหนังเลาะกระดูก 2 กก.,KG,,,90,,,,N,0,,,,,,,
'10020011,CHICKEN TOP ROUND WITH SKIN SLICE (2KG.),สะโพกไก่ติดหนังสไลด์(2กก.),KG,,,90,,,,N,0,,,,,,,
'10020009,CHICKEN TOP ROUND  WITH OUT BONE&SKIN,สะโพกไก่ลอกหนังเลาะกระดูก,KG,,,90,,,,N,0,,,,,,,
'10010011,PORK TOP ROUND,สะโพกหมู,KG,,,110,,,,N,0,,,,,,,
'10010027,สันคอหมู,สันคอหมู,Kg,,,150,,,,N,0,,,,,,,
'10020006,CHICKEN FILLET,สันในไก่,KG,,,95,,,,N,0,,,,,,,
'10010010,PORK TENDERLOIN,สันในหมู,KG,,,125,,,,N,0,,,,,,,
'10050033,"CHICKEN SAUSAGE 3.5"" BATAGRO",ไส้กรอกไก่ 3.5นิ้ว(เบทาโกร),KG,,,145,,,,N,0,,,,,,,
'10050032,"CHICKEN SAUSAGE 3"" GF",ไส้กรอกไก่(จีเอฟ),KG,,,115,,,,N,0,,,,,,,
'10050031,CHICKEN SAUSAGE,ไส้กรอกไก่รมควัน(หนังกรอบ) 1000ก.,KG,,,98,,,,N,0,,,,,,,
'10050047,PORK VIENNA SAUSAGE,ไส้กรอกเวียนนา,KG,,,115,,,,N,0,,,,,,,
'10050008,CHICKEN SAUSAGE OHO/KG,ไส้กรอกหนังกรอบไก่ทอง/กก.,KG,,,130,,,,N,0,,,,,,,
'10010020,ไส้อ่อนหมู,ไส้อ่อนหมู,KG,,,150,,,,N,0,,,,,,,
'17080006,หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),หมึกกล้วยบั้งตาสับปะรดแช่แข็ง 1 กก.(227491),KG,,,70,,,,N,0,,,,,,,
'17080002,FROZEN SQUID SLICE(PINEAPPLE),หมึกกล้วยหั่นบั้งสับปะรด  แช่แข็ง ,KG,,,70,,,,N,0,,,,,,,
'17080003,FROZEN SQUID SLICED(RINGS),หมึกกล้วยหั่นวงแหวน  แช่แข็ง ,KG,,,70,,,,N,0,,,,,,,
'10010005,PORK HIP SLICED,หมูเนื้อแดงหั่น,KG,,,110,,,,N,0,,,,,,,
'10010008,PORK MINCED A,หมูบดเกรด A,KG,,,110,,,,N,0,,,,,,,
'10010007,PORK MEAT GROUND B,หมูบดเกรด B ปนมัน 20%,KG,,,90,,,,N,0,,,,,,,
'17010001,หมูปิ้งนมสดแช่แข็ง 25ก.(1x40)/(866771),หมูปิ้งนมสดแช่แข็ง 25ก.(1x40)/(866771),PACK,,,345,,,,N,0,,,,,,,
'10010019,PORK LOIN,หมูสันนอก,KG,,,125,,,,N,0,,,,,,,
'10010014,PORK CHOP,หมูสันนอกติดกระดูก,KG,,,188,,,,N,0,,,,,,,
'10010003,PORK CHOP S-PURE,หมูสันนอกติดกระดูก(ทั้งเส้น),KG,,,188,,,,N,0,,,,,,,
'10010001,PORK BELLY,หมูสามชั้น,KG,,,178,,,,N,0,,,,,,,
'10010016,PORK BELLY SLICED,หมูสามชั้น(หั่น),KG,,,178,,,,N,0,,,,,,,
'10010024,หมูสามชั้นแผ่นมันบางๆ,หมูสามชั้นแผ่นมันบางๆ,KG,,,180,,,,N,0,,,,,,,
'10010025,หมูสามชั่นหั่นเต๋า,หมูสามชั่นหั่นเต๋า,KG,,,178,,,,N,0,,,,,,,
'10010026,หมูสามชั้นหั่นเส้นยาว,หมูสามชั้นหั่นเส้นยาว,KG,,,178,,,,N,0,,,,,,,
'10050009,FERMENTED GRILL CHICKEM JPM 850G.(149987),แหนมไก่ดอนเมืองเจพีเอ็ม 850ก.(149987),BAG,,,115,,,,N,0,,,,,,,
'10050053,แหนมไก่ ดอนเมืองย่าง เจพีเอ็ม850ก.(10ชิ้น)(149987),แหนมไก่ดอนเมืองย่าง(เจพีเอ็ม) 850ก.(1*10)/(149987),PACK,,,115,,,,N,0,,,,,,,
'10020021,CHICKEN BREAST WITH WING,อกไก่ติดปีก,KG,,,85,,,,N,0,,,,,,,
'10020016,CHICKEN BREAST WITH SKIN 2KG.,อกไก่ติดหนัง 2 กก.,KG,,,74,,,,N,0,,,,,,,
'10020020,CHICKEN BREAST WITH SKIN SLICE,อกไก่ติดหนังสไลด์,KG,,,74,,,,N,0,,,,,,,
'10020015,อกไก่รมควัน,อกไก่รมควัน,KG,,,360,,,,N,0,,,,,,,
'10020004,CHICKEN BREAST PACK 2KG.,อกไก่ลอกหนัง 2 กก.,KG,,,82,,,,N,0,,,,,,,
'17020004,อกไก่ลอกหนังสไลด์ แช่แข็ง (เบทาโกร) ,อกไก่ลอกหนังสไลด์ แช่แข็ง (เบทาโกร) ,KG,,,80,,,,N,0,,,,,,,
'17030001,SKINED DUCK MEAT BB2 1 KG.,อกเป็ดเนื้อติดหนัง BB2 1 กก.,KG,,,275,,,,N,0,,,,,,,
'10030001,SKINED DUCK MEAT BB1 1KG.,อกเป็ดเนื้อติดหนัง(BB1) 1 กก.,KG,,,275,,,,N,0,,,,,,,
'10030002,SMOKED DUCK BREAST 1 กก.,อกเป็ดรมควัน 1 กก.,KG,,,590,,,,N,0,,,,,,,
